[10:48:23]: Building...
[10:48:56]: Building dash.js...
[10:48:58]: Building index.pug...
[10:48:58]: Building debug.pug...
[10:48:58]: Building graph.pug...
[10:48:58]: Building settings.pug...
[10:48:58]: Building setup.pug...
[10:49:09]: Building main.scss...
[10:49:09]: Building main.js...
[10:49:09]: Building graph.scss...
[10:49:09]: Building graph.js...
[10:49:09]: Building settings.scss...
[10:49:09]: Building settings.js...
[10:49:09]: Building setup.scss...
[10:49:09]: Building systemSetup.js...
[10:49:09]: Building debug.scss...
[10:49:09]: Building debug.js...
[10:49:11]: Building objectWithoutProperties.js...
[10:49:11]: Building main.js...
[10:49:12]: Built js/graph.js...
[10:49:12]: Built js/settings.js...
[10:49:12]: Built js/systemSetup.js...
[10:49:12]: Building slicedToArray.js...
[10:49:13]: Building css-loader.js...
[10:49:13]: Built scss/graph.scss...
[10:49:13]: Built views/graph.pug...
[10:49:13]: Built scss/settings.scss...
[10:49:13]: Built views/settings.pug...
[10:49:13]: Built scss/setup.scss...
[10:49:13]: Built views/setup.pug...
[10:49:14]: Built scss/debug.scss...
[10:49:15]: Building objectWithoutPropertiesLoose.js...
[10:49:15]: Building line.js...
[10:49:15]: Building circle.js...
[10:49:15]: Building semicircle.js...
[10:49:15]: Building path.js...
[10:49:15]: Building shape.js...
[10:49:15]: Building utils.js...
[10:49:15]: Building arrayWithHoles.js...
[10:49:15]: Building iterableToArrayLimit.js...
[10:49:15]: Building nonIterableRest.js...
[10:49:16]: Building bundle-url.js...
[10:49:17]: Built ../node_modules/@babel/runtime/helpers/objectWithoutPropertiesLoose.js...
[10:49:17]: Built ../node_modules/@babel/runtime/helpers/objectWithoutProperties.js...
[10:49:17]: Built ../node_modules/progressbar.js/src/line.js...
[10:49:17]: Built ../node_modules/progressbar.js/src/circle.js...
[10:49:17]: Built ../node_modules/progressbar.js/src/semicircle.js...
[10:49:17]: Building shifty.js...
[10:49:17]: Built ../node_modules/progressbar.js/src/shape.js...
[10:49:17]: Built ../node_modules/progressbar.js/src/utils.js...
[10:49:17]: Built ../node_modules/@babel/runtime/helpers/arrayWithHoles.js...
[10:49:17]: Built ../node_modules/@babel/runtime/helpers/iterableToArrayLimit.js...
[10:49:17]: Built ../node_modules/@babel/runtime/helpers/nonIterableRest.js...
[10:49:17]: Built ../node_modules/@babel/runtime/helpers/slicedToArray.js...
[10:49:17]: Built js/debug.js...
[10:49:17]: Built views/debug.pug...
[10:49:18]: Built ../node_modules/parcel-bundler/src/builtins/bundle-url.js...
[10:49:18]: Built ../node_modules/parcel-bundler/src/builtins/css-loader.js...
[10:49:18]: Built scss/main.scss...
[10:49:18]: Built ../node_modules/shifty/dist/shifty.js...
[10:49:18]: Built ../node_modules/progressbar.js/src/path.js...
[10:49:18]: Built ../node_modules/progressbar.js/src/main.js...
[10:49:18]: Built js/main.js...
[10:49:18]: Built views/index.pug...
[10:49:18]: Built dash.js...
[10:49:18]: Producing bundles...
[10:49:19]: Packaging...
[10:49:27]: Building hmr-runtime.js...
[10:49:46]: Built ../node_modules/parcel-bundler/src/builtins/hmr-runtime.js...
[10:49:47]: Building bundle-loader.js...
[10:49:49]: Built ../node_modules/parcel-bundler/src/builtins/bundle-loader.js...
[10:49:50]: Building js-loader.js...
[10:49:50]: Building html-loader.js...
[10:49:50]: Built ../node_modules/parcel-bundler/src/builtins/loaders/browser/js-loader.js...
[10:49:50]: Built ../node_modules/parcel-bundler/src/builtins/loaders/browser/html-loader.js...
[10:49:53]: ✨  Built in 90.34s.
